iter	Passed	Remaining
0	134	107285
1	136	54316
2	137	36590
3	139	27745
4	141	22430
5	142	18880
6	144	16350
7	146	14464
8	147	12982
9	149	11811
10	151	10844
11	152	10043
12	154	9371
13	156	8783
14	158	8275
15	159	7831
16	161	7445
17	163	7095
18	164	6778
19	166	6502
20	168	6252
21	170	6018
22	172	5812
23	173	5616
24	175	5439
25	177	5271
26	178	5114
27	180	4975
28	182	4843
29	183	4720
30	185	4603
31	187	4495
32	189	4395
33	191	4303
34	192	4216
35	194	4132
36	196	4052
37	198	3974
38	199	3900
39	201	3830
40	203	3764
41	205	3702
42	206	3642
43	208	3584
44	210	3528
45	212	3476
46	213	3424
47	215	3375
48	217	3327
49	218	3283
50	220	3244
51	222	3202
52	224	3167
53	226	3127
54	228	3088
55	229	3053
56	231	3018
57	233	2985
58	235	2952
59	236	2921
60	238	2890
61	240	2861
62	242	2831
63	243	2804
64	245	2777
65	247	2750
66	249	2725
67	250	2701
68	252	2676
69	254	2651
70	256	2629
71	257	2608
72	259	2586
73	261	2566
74	263	2546
75	265	2526
76	266	2506
77	268	2486
78	270	2467
79	272	2450
80	273	2431
81	275	2412
82	277	2395
83	278	2378
84	280	2362
85	282	2346
86	284	2330
87	285	2313
88	287	2298
89	289	2283
90	291	2268
91	292	2252
92	294	2237
93	296	2223
94	297	2209
95	299	2197
96	301	2185
97	303	2171
98	304	2159
99	306	2145
100	308	2132
101	309	2119
102	311	2109
103	313	2095
104	314	2082
105	316	2070
106	317	2058
107	319	2046
108	320	2033
109	322	2021
110	323	2009
111	325	2000
112	327	1990
113	328	1979
114	330	1968
115	332	1958
116	333	1949
117	335	1939
118	337	1930
119	338	1920
120	340	1911
121	343	1909
122	345	1901
123	347	1892
124	348	1884
125	350	1876
126	352	1868
127	354	1863
128	356	1856
129	358	1849
130	360	1842
131	363	1840
132	365	1831
133	367	1826
134	369	1819
135	371	1812
136	373	1805
137	375	1799
138	377	1796
139	379	1788
140	381	1781
141	382	1774
142	385	1770
143	387	1763
144	389	1758
145	391	1754
146	393	1748
147	395	1740
148	396	1733
149	398	1726
150	400	1719
151	401	1712
152	403	1706
153	404	1698
154	406	1692
155	408	1685
156	410	1679
157	411	1671
158	412	1664
159	414	1657
160	415	1650
161	417	1645
162	419	1638
163	421	1633
164	422	1627
165	424	1621
166	426	1615
167	427	1609
168	429	1602
169	431	1597
170	432	1591
171	434	1586
172	435	1579
173	437	1573
174	438	1567
175	440	1562
176	442	1557
177	444	1552
178	445	1546
179	447	1539
180	448	1533
181	450	1528
182	452	1524
183	453	1517
184	455	1512
185	456	1507
186	458	1501
187	459	1497
188	461	1491
189	463	1486
190	464	1481
191	466	1476
192	468	1472
193	469	1466
194	470	1460
195	472	1455
196	473	1449
197	474	1443
198	476	1439
199	478	1434
200	479	1429
201	481	1424
202	482	1419
203	484	1414
204	485	1410
205	487	1406
206	489	1401
207	491	1397
208	492	1393
209	494	1390
210	496	1386
211	498	1381
212	499	1376
213	500	1371
214	502	1367
215	503	1362
216	505	1357
217	507	1354
218	508	1350
219	510	1344
220	511	1340
221	513	1336
222	514	1331
223	516	1327
224	517	1323
225	519	1319
226	521	1315
227	523	1312
228	524	1307
229	526	1304
230	527	1299
231	529	1295
232	530	1291
233	532	1288
234	534	1284
235	536	1281
236	537	1277
237	539	1273
238	541	1269
239	542	1266
240	544	1262
241	545	1258
242	547	1254
243	548	1250
244	550	1246
245	551	1242
246	553	1238
247	554	1234
248	556	1230
249	557	1226
250	559	1222
251	560	1219
252	562	1215
253	564	1212
254	565	1209
255	567	1205
256	569	1202
257	571	1199
258	572	1196
259	574	1193
260	576	1189
261	577	1186
262	579	1183
263	581	1179
264	582	1175
265	584	1172
266	585	1169
267	587	1165
268	588	1162
269	590	1159
270	592	1155
271	593	1152
272	595	1149
273	596	1145
274	598	1142
275	599	1138
276	601	1135
277	603	1132
278	604	1129
279	606	1126
280	608	1123
281	609	1119
282	611	1116
283	613	1113
284	614	1110
